neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
221225_108,FB,1,5,0.17386559574669622,euclidean
221225_119,FB,1,5,0.17386559574669622,euclidean
221225_120,FB,3,1,0.16991025939102467,euclidean
221225_142,FB,1,5,0.17386559574669622,euclidean
221225_185,FB,1,5,0.17386559574669622,euclidean
221225_196,FB,3,1,0.08605102300453746,euclidean
221225_200,FB,3,1,0.17099436155061215,euclidean
221225_201,FB,1,5,0.17386559574669622,euclidean
221225_235,FB,2,1,0.4189479852203175,euclidean
221423_125,FB,1,5,0.26093499348228016,euclidean
221424_002,FB,5,4,0.3297870714396895,euclidean
221424_023,FB,1,5,0.5324978186007481,euclidean
221531_133,FB,3,1,0.08605102300453746,euclidean
221531_171,FB,3,1,0.08605102300453746,euclidean
221057_053,FB,1,5,0.6249495033901118,euclidean
221364_007,FB,1,6,0.6569452917677744,euclidean
221364_009,FB,1,5,0.17386559574669622,euclidean
221364_022,FB,1,5,0.17386559574669622,euclidean
221364_023,FB,3,1,0.08605102300453746,euclidean
221364_029,FB,1,5,0.34486509363965323,euclidean
221364_034,FB,1,5,0.13156946146697576,euclidean
221364_035,FB,4,6,0.2653456381066303,euclidean
221364_037,FB,5,4,0.08308167341628206,euclidean
221364_039,FB,3,1,0.08605102300453746,euclidean
221364_040,FB,4,6,0.2653456381066303,euclidean
221364_041,FB,3,1,0.08605102300453746,euclidean
221364_063,FB,1,5,0.22499264452593104,euclidean
221364_064,FB,3,1,0.08605102300453746,euclidean
221364_065,FB,1,5,0.17386559574669622,euclidean
221364_073,FB,1,6,0.7831846904156307,euclidean
221364_074,FB,1,5,0.5821108735852971,euclidean
221364_076,FB,5,3,0.5228639221239706,euclidean
221364_077,FB,1,5,0.6399355818011385,euclidean
221364_115,FB,3,1,0.08605102300453746,euclidean
221364_117,FB,4,6,0.4157219327598321,euclidean
221364_119,FB,1,5,0.11562701336897763,euclidean
221365_029,FB,1,5,0.3755554690760681,euclidean
221365_083,FB,1,5,0.33971492588710106,euclidean
221365_099,FB,6,2,0.4230579709617354,euclidean
221416_021,FB,3,1,0.08605102300453746,euclidean
221703_216,FB,6,2,0.4949284470987407,euclidean
221703_223,FB,4,6,0.5144259174281242,euclidean
221703_224,FB,1,5,0.1401555753097975,euclidean
221719_051,FB,1,5,0.5575780881524628,euclidean
221728_166,FB,3,1,0.08605102300453746,euclidean
221728_167,FB,3,1,0.08605102300453746,euclidean
221728_172,FB,5,4,0.08308167341628206,euclidean
221728_175,FB,1,5,0.27500350001694573,euclidean
221728_177,FB,1,5,0.6621388074682822,euclidean
230011_181,FB,3,1,0.08605102300453746,euclidean
230011_188,FB,6,2,0.11628640681197064,euclidean
230011_189,FB,4,6,0.2653456381066303,euclidean
230011_190,FB,1,5,0.13561715917733114,euclidean
230011_193,FB,1,5,0.17386559574669622,euclidean
230011_203,FB,1,5,0.17386559574669622,euclidean
230113_008,FB,1,5,0.9424856481747351,euclidean
233795_113,FB,1,5,0.35023584674210056,euclidean
233795_114,FB,1,5,0.6380860266982435,euclidean
233795_115,FB,1,5,0.5782105557275675,euclidean
233795_116,FB,1,5,0.17386559574669622,euclidean
233795_117,FB,1,5,0.17386559574669622,euclidean
233795_119,FB,1,5,0.16530763971450588,euclidean
233795_120,FB,1,5,0.20837892553994342,euclidean
233795_122,FB,1,6,0.5363278181287449,euclidean
233795_123,FB,1,5,0.6796757249581707,euclidean
233795_129,FB,4,3,0.46624964628672494,euclidean
221089_038,FB,1,5,0.17386559574669622,euclidean
221089_039,FB,1,5,0.10293652607312115,euclidean
221089_130,FB,1,5,0.3911649820349417,euclidean
221089_131,FB,1,5,0.17386559574669622,euclidean
