 ,221065_113,221475_122,221622_013,221622_016,221702_016,221702_017,221705_020,230110_035,233795_033,233795_034,233795_035,221705_024,221063_064,221063_065,221063_072,221065_116,221419_058,221419_060,221419_063,221423_021,221423_072,221705_019,231688_014,221065_097,221423_001,221423_002,221423_004,221423_008,221423_026,221423_066,231688_019,221423_027,221423_067,221481_263,231688_021,231688_025,231688_015
="VISli4",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli5",="0",="2",="6",="18",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="6",="0",="4",="3",="1",="0",="0",="1",="5",="0",="1",="7",="0",="1",="0",="0",="0",="4",="0",="0",="0"
="VISli6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="2",="0",="2",="0",="2",="1",="0",="0",="0",="4",="2",="0",="2",="0",="3",="1",="0",="0",="0",="0",="0",="0"
="TEa6a",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="2",="8",="0",="3",="2",="11",="5",="14",="5",="4",="6",="4",="0",="1",="0",="3",="0",="0"
="ECT5",="0",="3",="0",="0",="1",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="4",="3",="6",="2",="0",="0",="0",="2",="0",="10",="0",="0",="5",="0",="0",="16",="0",="0"
="ECT6a",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="5",="12",="0",="0",="0",="0",="0",="15",="4",="13",="0",="0",="2",="0",="0",="6",="0",="0"
="SSp-bfd1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="8",="2",="0",="0",="0",="0",="0",="0",="120",="14",="0",="0",="0",="0",="0",="0",="1",="6",="0",="0",="50",="0",="0",="124",="0",="0"
="SSp-bfd2/3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="15",="0",="0",="0",="0",="0",="0",="0",="32",="5",="0",="0",="0",="0",="0",="0",="3",="3",="0",="0",="0",="0",="0",="1",="0",="0"
="SSp-bfd4",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="13",="4",="0",="0",="0",="0",="0",="2",="7",="10",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs2/3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="1",="0",="0"
="SSs4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs5",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd1",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="4",="0",="0",="0",="0",="0",="0",="0",="3",="6",="0",="0",="0",="0",="0",="7",="0",="0"
="AUDd2/3",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd4",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd5",="0",="0",="7",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="3",="0",="6",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDp1",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="1",="0",="0",="0",="0",="0",="5",="0",="0"
="AUDp2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="1",="0",="1",="0",="0",="0",="0",="0",="0"
="AUDpo2/3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
