 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="ccs",="0",="0",="0",="2626.9303",="2623.1041",="1034.836",="218.0733",="0",="1138.5043",="0",="987.4961000000001",="547.8717",="0",="1907.5124",="2003.2132",="1510.3841",="1400.9101",="3189.1588",="1761.8493999999998",="1945.8247999999999",="1387.2756",="2633.3647",="238.7231",="1308.3301000000001",="2242.3540000000003",="1613.7117",="0"
="scwm",="0",="0",="0",="113.5101",="636.2401",="5.6736",="362.3997",="0",="158.6322",="838.5817",="1565.1461",="251.0926",="0",="390.779",="408.0003",="345.735",="339.5005",="371.5561",="830.3731",="1245.9393",="244.6879",="162.0358",="871.3831",="0",="138.4637",="605.7969",="303.6498"
="SSp-bfd6a",="0",="0",="0",="0",="594.4018",="0",="0",="0",="595.6405",="0",="0",="0",="0",="472.1644",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="277.1682"
="SSp-bfd6b",="0",="0",="0",="0",="445.719",="0",="0",="281.0197",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.3423"
="SSs6a",="0",="0",="0",="0",="346.6819",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs6b",="0",="0",="0",="0",="390.8983",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDd6b",="0",="0",="0",="0",="187.44",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="29.7176",="0"
="VISam4",="0",="0",="0",="0",="160.8447",="0",="4.8852",="0",="0",="1389.9822",="302.4658",="138.7759",="0",="0",="0",="0",="228.6595",="788.0488",="365.2287",="251.1355",="0",="127.9795",="184.2576",="135.7096",="76.8995",="0",="106.3276"
="VISam5",="0",="0",="0",="0",="424.2949",="271.1542",="744.4762",="0",="0",="518.3537",="305.2485",="122.2365",="0",="0",="0",="82.4095",="1139.1805",="2576.449",="548.8953",="159.3623",="0",="1798.0708",="549.807",="261.3195",="165.2525",="0",="417.8143"
="VISl5",="0",="0",="0",="0",="401.6745",="410.1875",="1004.1958000000001",="0",="186.3349",="0",="1579.173",="2134.5613",="65.6866",="0",="0",="0",="53.3779",="0",="282.2066",="558.6943",="488.2204",="0",="2710.0872",="0",="355.1737",="2068.8428",="0"
="VISpl1",="0",="0",="0",="0",="2957.6406",="4533.6192",="473.8654",="0",="2178.8345",="0",="8923.3354",="0",="26.234",="1373.8355",="7221.6489",="446.0051",="0",="21.6354",="1214.7201",="0",="0",="1722.9877",="0",="3868.3026",="0",="62.1283",="0"
="VISpl2/3",="0",="0",="0",="0",="611.958",="8056.3116",="2763.6383",="0",="1618.3644",="0",="8745.6772",="0",="1261.6938",="1050.2908",="11971.3758",="759.8476",="0",="783.2473",="3930.311",="0",="0",="3163.7229",="0",="3356.4067",="0",="284.6467",="0"
