 ,221057_099,221057_123,221057_131,221057_133,221057_135,221057_137,221057_150,221057_160,221057_167,221481_257,221481_258,221701_039,221701_041,221701_047,221701_060,221701_061,221702_003,221733_181,230066_079,230066_083,230066_084,230066_087,230066_121,230066_124,231685_259,233285_119,233380_037,233666_171,233668_056,233668_059,233668_061,233668_062,233668_063,233668_065,233668_072,233668_073,233668_099,233668_101,233795_008,233795_009,233795_011,233795_012,233795_013,233795_087,233795_090,233795_097,233795_098,233795_100,233795_102,221090_098,221091_154,221417_018,221417_019,221417_043,221418_139,221478_326,221479_163,221479_166,221480_100,221481_254,231685_243,231685_255,231685_273,231685_274,231685_286,233379_029,233379_031,233379_036,233379_040,233379_109,233379_130,233380_093,233666_139,233666_190,233666_204,221090_092,221090_093,221090_094,221090_099,221091_125,221091_158,221417_017,221418_132,221418_137,221418_138,221477_058,221477_059,221479_236,231687_014,233379_123,233666_201,233667_154,233667_217,233667_242,233667_256,233667_257,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_027,231687_028,233667_270,221365_065,231687_023,233666_161,233666_182,233666_183,233666_193,233666_196,233666_197,233666_202,233666_203,233667_132,233667_165,233667_259,233667_264,233667_272,233667_279,221065_083,221065_084,233667_261
="VISpor5",="0",="1",="0",="3",="3",="5",="0",="1",="0",="0",="2",="2",="3",="7",="0",="0",="1",="0",="2",="0",="0",="1",="1",="3",="0",="0",="4",="2",="0",="0",="4",="2",="2",="6",="8",="7",="0",="7",="2",="4",="20",="3",="8",="2",="0",="4",="2",="1",="0",="0",="0",="1",="2",="4",="1",="1",="0",="0",="0",="0",="0",="6",="0",="0",="8",="0",="1",="0",="4",="0",="8",="1",="0",="1",="10",="0",="2",="1",="0",="0",="0",="1",="0",="0",="1",="1",="0",="0",="1",="0",="2",="0",="4",="0",="5",="2",="0",="0",="1",="13",="4",="0",="15",="2",="1",="0",="0",="0",="2",="0",="1",="3",="0",="1",="3",="0",="0",="1",="0",="0",="0",="0",="0",="3"
="VISpor6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="4",="7",="0",="0",="13",="1",="0",="7",="2",="5",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="2",="2",="2",="1",="0",="0",="0",="0"
="or",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="0",="2",="2",="2",="1",="0",="0",="1",="0",="3",="0",="0",="0",="1",="2",="0",="0",="1",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="3",="1",="1",="0",="0",="1",="0",="2",="1",="3",="6",="11",="0",="20",="1",="0",="6",="8",="14",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="12",="4",="0"
="VISl1",="0",="4",="0",="4",="2",="0",="9",="0",="2",="0",="0",="0",="24",="0",="0",="0",="1",="2",="7",="0",="13",="0",="4",="0",="16",="4",="6",="0",="0",="0",="7",="0",="21",="0",="0",="2",="0",="0",="3",="2",="3",="5",="4",="2",="3",="5",="1",="7",="27",="0",="1",="1",="0",="2",="0",="1",="1",="0",="2",="8",="47",="24",="3",="18",="0",="0",="0",="0",="1",="0",="2",="9",="5",="0",="4",="3",="2",="10",="2",="0",="0",="6",="0",="6",="0",="2",="1",="0",="4",="0",="20",="0",="0",="0",="16",="28",="0",="20",="48",="13",="7",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4"
="VISl2/3",="0",="8",="1",="12",="4",="1",="6",="0",="18",="4",="17",="0",="9",="0",="0",="0",="3",="4",="3",="0",="7",="0",="2",="0",="8",="10",="1",="0",="1",="1",="8",="0",="16",="0",="2",="0",="4",="0",="4",="6",="3",="10",="3",="23",="17",="13",="0",="9",="16",="0",="0",="2",="0",="0",="0",="14",="0",="8",="0",="18",="4",="11",="2",="1",="0",="0",="0",="0",="0",="0",="3",="2",="34",="1",="10",="3",="0",="0",="0",="0",="0",="9",="0",="7",="0",="1",="1",="0",="3",="0",="2",="0",="0",="1",="9",="21",="0",="4",="22",="0",="4",="2",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="VISl4",="0",="1",="7",="2",="0",="2",="6",="0",="0",="1",="1",="0",="5",="0",="0",="0",="1",="5",="1",="1",="9",="0",="1",="0",="6",="6",="1",="0",="1",="0",="0",="0",="3",="0",="2",="0",="1",="0",="2",="0",="1",="0",="2",="4",="4",="1",="0",="2",="8",="0",="0",="2",="0",="0",="0",="2",="0",="3",="3",="4",="1",="22",="8",="1",="0",="0",="0",="0",="0",="0",="3",="1",="9",="1",="1",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="5",="0",="0",="1",="5",="5",="0",="7",="8",="2",="8",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14",="1"
="VISl5",="0",="4",="10",="4",="4",="2",="6",="4",="0",="1",="0",="0",="12",="1",="0",="0",="1",="1",="1",="0",="3",="0",="0",="0",="11",="1",="3",="0",="0",="4",="1",="1",="10",="1",="0",="2",="1",="0",="0",="5",="0",="2",="3",="2",="5",="1",="1",="4",="8",="0",="0",="0",="0",="0",="0",="2",="0",="0",="1",="10",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="1",="2",="4",="1",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="1",="0",="0",="0",="0",="2",="0",="0",="1",="3",="10",="1",="6",="16",="3",="6",="0",="7",="4",="2",="2",="12",="1",="8",="0",="0",="7",="0",="13",="0",="0",="0",="1",="1",="0",="4",="0",="5",="3"
="VISpl1",="0",="0",="0",="4",="8",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="1",="0",="0",="0",="0",="0",="15",="7",="2",="0",="6",="2",="0",="0",="0",="1",="0",="0",="0",="1",="9",="15",="11",="0",="0",="0",="1",="0",="0",="14",="28",="0",="0",="0",="3",="0",="37",="0",="10",="2",="0",="11",="19",="12",="42",="4",="0",="0",="25",="4",="37",="4",="8",="0",="0",="1",="9",="0",="0",="3",="0",="0",="6",="7",="5",="38",="11",="42",="11",="0",="10",="0",="0",="0",="0",="1",="0",="1",="0",="42",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1"
="VISli1",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="3",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="29",="1",="4",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="20",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="0",="2",="0",="4",="0",="0",="0",="0",="0",="4",="0",="7",="3",="0",="5",="0",="0",="0",="0",="0",="0",="1",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7"
="VISli2/3",="0",="2",="2",="0",="0",="0",="1",="0",="27",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="7",="0",="0",="0",="0",="0",="1",="2",="0",="0",="2",="0",="18",="0",="2",="1",="0",="5",="1",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="12",="10",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="18",="0",="0",="1",="0",="1",="0",="0",="0",="1",="0",="3",="0",="6",="8",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2"
