 ,221519_038,221519_039,221519_041,221519_042,221622_014,221622_015,221622_031,221622_032,221622_034,221622_035,221622_036,221622_038,221622_043,221714_054,221751_075,221751_076,221751_077,221751_078,221751_079,221751_080,221751_083,230108_027,230109_005,230109_006,230110_030,230110_032,233795_051,233795_052,233795_057,221062_068,221478_820,221622_030,221091_110,221424_049,221426_077,221477_049,221622_039,221426_078,221423_070,221714_049
="RSPv6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="16",="0",="0",="0",="0",="0",="0"
="RSPv6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa1",="0",="0",="28",="4",="0",="0",="15",="7",="0",="0",="0",="3",="1",="0",="0",="4",="1",="0",="0",="5",="0",="0",="0",="0",="0",="6",="0",="0",="0",="16",="0",="6",="0",="4",="0",="22",="0",="0",="0",="0"
="VISa2/3",="0",="1",="8",="4",="0",="0",="31",="8",="0",="0",="2",="0",="0",="1",="0",="4",="0",="4",="0",="2",="4",="0",="0",="0",="0",="3",="0",="0",="0",="1",="1",="2",="0",="0",="0",="2",="0",="0",="0",="0"
="VISa4",="0",="0",="5",="0",="0",="0",="8",="2",="0",="0",="0",="0",="2",="0",="0",="1",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="0",="0",="0",="0"
="VISa5",="0",="1",="6",="2",="0",="0",="5",="2",="0",="0",="1",="1",="7",="2",="0",="10",="5",="1",="0",="5",="5",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="2",="0",="0",="0",="3",="0",="0",="0",="0"
="VISa6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="8",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="6",="4",="0",="1",="0",="0",="0",="0"
="cing",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0"
