 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="VISa4",="1",="0",="3",="5",="8",="0",="0",="2",="0",="0",="1",="4",="2",="3",="0",="3",="0",="2",="1",="6",="13",="0",="1",="0",="1",="2",="3",="3",="3",="4",="0",="0",="4",="1",="0",="0",="4",="0",="0",="0",="3",="0",="0",="9",="0",="0",="0",="8",="3",="1",="0",="2",="19",="3",="0",="2",="0",="1",="1",="0",="0",="0",="1",="10"
="VISa5",="1",="0",="3",="15",="9",="0",="1",="2",="0",="0",="4",="8",="2",="2",="3",="6",="4",="10",="8",="7",="38",="0",="2",="0",="6",="15",="3",="2",="9",="4",="1",="7",="1",="2",="4",="2",="7",="1",="0",="0",="4",="1",="1",="7",="0",="0",="0",="8",="10",="26",="5",="22",="9",="19",="2",="1",="0",="5",="1",="0",="0",="3",="22",="1"
="VISa6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="2",="3",="4",="4",="1",="0",="3",="0",="1",="5",="9",="0",="1",="2",="0",="0"
="PL1",="1",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0"
="PL2/3",="3",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="PL5",="6",="0",="1",="0",="5",="0",="0",="0",="0",="0",="0",="0",="5",="2",="0",="0",="2",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="2",="0",="4",="0",="0",="0",="0",="0",="0"
="PL6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
="SSs1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="0",="3",="0",="10",="0",="2",="1",="8",="0",="0",="0",="7",="0",="0",="1",="9",="2",="14",="6",="0",="0",="0",="30",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="9",="0",="0",="3",="0",="0",="2",="0",="0",="21",="2",="9",="1",="0",="5",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="12",="0"
="VISal2/3",="0",="2",="0",="5",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="1",="4",="0",="3",="5",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="4",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
