 ,221057_135,221057_150,221057_155,221364_083,221364_087,221701_055,230011_175,230066_079,230066_084,231685_259,231685_281,233285_119,233379_133,233380_037,233666_171,233668_063,233668_065,233668_073,233668_099,233668_101,233795_002,233795_003,233795_009,233795_012,233795_074,233795_088,221090_095,221091_154,221417_015,221418_129,221479_166,231685_243,231685_255,233379_029,233379_036,233379_097,233379_130,233666_139,233666_204,221090_092,221090_094,221090_099,221091_125,221091_158,221418_135,221418_137,221477_059,221481_137,231687_014,233379_123,233666_201,233667_217,233667_242,233667_256,233667_267,233667_269,221065_081,231687_027,231687_028,233284_183,233667_270,221225_016,231687_023,233666_161,221065_083,221065_086,233667_261
="RSPv1",="43.9976",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="407.6065",="0",="0",="0",="0",="3408.7825",="144.9333",="0",="0",="0",="42.7927",="0",="205.5579",="226.8718",="292.9318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2284.5175",="3401.4973",="0",="0",="0",="0",="0",="0",="0",="1331.2019",="0",="325.9914",="119.4785",="0",="0",="0",="0",="0",="0",="0"
="RSPv2/3",="933.5529",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1693.6239",="0",="0",="0",="0",="1433.7769",="395.2272",="0",="0",="0",="9.6642",="0",="89.8632",="1.7362",="131.8227",="14.97",="0",="0",="0",="0",="16.1211",="0",="0",="0",="0",="1137.2545",="936.0527",="0",="0",="0",="0",="0",="0",="0",="102.2795",="0",="51.0385",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPv5",="141.5955",="0",="0",="0",="0",="226.3213",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="179.6712",="0",="0",="0",="119.9621",="416.543",="962.7249",="135.1311",="0",="0",="0",="0",="1056.0712",="0",="396.5868",="310.0295",="0",="0",="0",="0",="203.2952",="0",="221.2497",="0",="0",="5308.9413",="519.1104",="759.3387",="0",="0",="0",="0",="0",="0",="304.6008",="0",="293.3789",="271.2315",="95.6141",="0",="0",="0",="0",="0",="0"
="TEa5",="758.8947",="499.5276",="317.7921",="282.8419",="16.988",="0",="212.9695",="222.6285",="0",="178.8102",="0",="397.9068",="0",="82.692",="0",="0",="9041.0686",="863.2359",="229.6475",="691.0712",="77.5214",="171.7192",="502.4924",="454.7405",="348.968",="0",="0",="0",="0",="0",="370.5325",="1520.6984",="0",="0",="0",="0",="1005.2105",="0",="0",="477.1379",="2460.9898",="368.8648",="211.6741",="85.9082",="0",="138.5025",="439.5161",="0",="0",="0",="0",="0",="551.7873",="324.0225",="832.8207",="0",="0",="451.0469",="575.2946",="306.71",="0",="315.9412",="158.4982",="330.0954",="0",="0",="0"
="VISal1",="0",="742.5082",="0",="13.7926",="493.3598",="0",="256.8324",="0",="0",="176.5093",="0",="280.7635",="625.2901",="696.4887",="0",="0",="0",="0",="0",="0",="0",="265.2507",="381.2616",="368.8919",="451.8532",="0",="1068.6677",="2205.2524",="228.23309999999998",="278.7251",="0",="73.664",="151.0806",="0",="100.3744",="2532.0444",="0",="0",="496.0498",="390.1927",="250.1255",="1896.5774000000001",="0",="0",="1521.1135",="1042.8175",="0",="575.1484",="2742.9921",="0",="1228.4456",="0",="0",="0",="0",="0",="0",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="0",="428.5717",="0",="2207.8255",="826.502",="0",="229.0199",="0",="0",="2425.2674",="1002.6667",="578.3688",="1955.493",="501.9251",="0",="215.1193",="0",="0",="0",="0",="0",="444.4465",="1371.8003",="210.4005",="424.8899",="112.0586",="177.9613",="103.5607",="675.7088",="3343.6691",="3.9804",="209.8343",="266.7272",="0",="260.9162",="1223.5125",="0",="0",="791.9245",="1373.4729",="490.1767",="111.3288",="0",="0",="2914.8307",="1177.9212",="0",="651.3799",="1862.7141",="0",="625.4493",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="0",="2761.4672",="0",="265.6291",="410.367",="0",="177.3232",="0",="0",="1120.8194",="64.9619",="345.4386",="648.8518",="281.6897",="0",="103.4654",="0",="0",="0",="0",="0",="45.7276",="1428.3843",="73.609",="494.6119",="0",="0",="0",="323.8461",="1496.9395",="9.0083",="53.6173",="359.7612",="70.8551",="203.1113",="965.0819",="221.1625",="0",="361.385",="434.6402",="447.4253",="250.7303",="0",="0",="912.1446",="25.8592",="0",="434.2945",="563.6598",="0",="121.5333",="0",="0",="0",="0",="0",="0",="0",="0",="200.2568",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="0",="1444.0965",="0",="148.2387",="2446.3964",="0",="842.9718",="0",="0",="2506.9901",="0",="774.4839",="1418.1364",="1192.4931",="0",="623.0893",="0",="0",="0",="0",="0",="0",="2423.3196",="77.6615",="480.3204",="0",="0",="0",="671.183",="482.7809",="0",="91.7033",="478.0782",="719.3948",="0",="1876.5296",="0",="0",="330.7421",="1609.8834",="943.5683",="710.1243",="0",="0",="105.8101",="668.1722",="841.2972",="1040.8523",="1030.285",="0",="65.247",="0",="0",="0",="0",="0",="0",="62.8019",="0",="0",="0",="255.935",="0",="0",="0",="0",="0"
="VISal6a",="0",="271.6636",="0",="332.4513",="122.7268",="0",="15.1838",="0",="0",="0",="0",="0",="0",="864.1962",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="629.6277",="0",="124.4887",="0",="83.3477",="550.4492",="0",="0",="0",="0",="0",="0",="0",="0",="115.2571",="0",="967.2253000000001",="606.1164",="810.7434",="0",="0",="0",="306.5312",="266.1689",="0",="0",="335.0117",="0",="0",="0",="0",="0",="0",="244.9903",="330.6567",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal6b",="0",="42.4223",="0",="0",="0",="391.1132",="0",="0",="0",="0",="0",="0",="174.6833",="384.9371",="0",="0",="0",="0",="0",="0",="0",="653.2887",="0",="0",="0",="78.9996",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="78.6933",="0",="0",="0",="0",="0",="267.9247",="0",="0",="0",="61.6829",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="19.6975",="0",="0",="0",="0",="0"
